frame, face_id, timestamp, confidence, success, pose_Tx, pose_Ty, pose_Tz, pose_Rx, pose_Ry, pose_Rz, AU01_r, AU02_r, AU04_r, AU05_r, AU06_r, AU07_r, AU09_r, AU10_r, AU12_r, AU14_r, AU15_r, AU17_r, AU20_r, AU23_r, AU25_r, AU26_r, AU45_r, AU01_c, AU02_c, AU04_c, AU05_c, AU06_c, AU07_c, AU09_c, AU10_c, AU12_c, AU14_c, AU15_c, AU17_c, AU20_c, AU23_c, AU25_c, AU26_c, AU28_c, AU45_c
1, 0, 0.000, 0.98, 1, 2.9, -16.3, 392.0, 0.238, 0.009, 0.083, 1.20, 0.56, 0.00, 0.55, 0.21, 0.76, 0.00, 0.10, 1.22, 0.00, 0.00, 0.00, 0.00, 0.00, 0.79, 0.53, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 1.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00
2, 0, 0.033, 0.98, 1, 2.4, -17.1, 392.2, 0.234, 0.004, 0.093, 1.13, 0.40, 0.00, 0.74, 0.26, 0.70, 0.00, 0.18, 1.30, 0.00, 0.00, 0.00, 0.00, 0.00, 0.83, 0.45, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00
3, 0, 0.067, 0.98, 1, 2.0, -17.8, 391.9, 0.235, 0.004, 0.095, 0.98, 0.40, 0.00, 0.79, 0.30, 0.68, 0.00, 0.27, 1.39, 0.00, 0.00, 0.00, 0.00, 0.00, 0.92, 0.43, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00
4, 0, 0.100, 0.98, 1, 1.4, -18.3, 392.7, 0.237, 0.004, 0.098, 0.82, 0.29, 0.00, 0.72, 0.34, 0.74, 0.00, 0.34, 1.49, 0.00, 0.00, 0.00, 0.00, 0.00, 1.02, 0.40, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00
5, 0, 0.133, 0.98, 1, 0.9, -18.5, 392.7, 0.235, 0.001, 0.097, 0.62, 0.25, 0.00, 0.50, 0.40, 0.75, 0.00, 0.41, 1.62, 0.00, 0.00, 0.00, 0.00, 0.00, 1.12, 0.48, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00
6, 0, 0.167, 0.98, 1, 0.3, -18.7, 393.6, 0.240, -0.001, 0.099, 0.49, 0.10, 0.00, 0.41, 0.50, 0.84, 0.00, 0.53, 1.71, 0.00, 0.00, 0.00, 0.00, 0.00, 1.21, 0.54, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00
7, 0, 0.200, 0.98, 1, -0.4, -19.3, 394.5, 0.241, -0.001, 0.098, 0.37, 0.15, 0.00, 0.41, 0.62, 0.84, 0.00, 0.66, 1.81, 0.00, 0.00, 0.00, 0.00, 0.00, 1.24, 0.66, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00
8, 0, 0.234, 0.98, 1, -1.0, -20.7, 396.7, 0.229, -0.002, 0.101, 0.36, 0.19, 0.00, 0.67, 0.72, 0.97, 0.00, 0.75, 1.86, 0.00, 0.00, 0.00, 0.00, 0.00, 1.17, 0.67, 0.00, 1.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00
9, 0, 0.267, 0.98, 1, -1.4, -22.7, 397.1, 0.208, 0.001, 0.101, 0.33, 0.16, 0.00, 0.74, 0.78, 0.96, 0.00, 0.76, 1.92, 0.00, 0.00, 0.00, 0.00, 0.00, 1.05, 0.69, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00
10, 0, 0.300, 0.98, 1, -1.4, -24.6, 398.3, 0.206, -0.001, 0.101, 0.25, 0.20, 0.00, 0.72, 0.82, 0.99, 0.00, 0.77, 1.97, 0.00, 0.00, 0.00, 0.00, 0.00, 1.10, 0.73, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00
