frame, face_id, timestamp, confidence, success, pose_Tx, pose_Ty, pose_Tz, pose_Rx, pose_Ry, pose_Rz, AU01_r, AU02_r, AU04_r, AU05_r, AU06_r, AU07_r, AU09_r, AU10_r, AU12_r, AU14_r, AU15_r, AU17_r, AU20_r, AU23_r, AU25_r, AU26_r, AU45_r, AU01_c, AU02_c, AU04_c, AU05_c, AU06_c, AU07_c, AU09_c, AU10_c, AU12_c, AU14_c, AU15_c, AU17_c, AU20_c, AU23_c, AU25_c, AU26_c, AU28_c, AU45_c
1, 0, 0.000, 0.98, 1, -85.5, -145.8, 950.7, 0.281, -0.326, -0.007, 0.00, 0.00, 2.44, 0.00, 0.49, 0.00, 0.00, 1.24, 0.53, 0.63, 0.00, 2.09, 0.52, 0.55, 0.24, 1.41, 0.60, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 1.00, 1.00, 0.00, 1.00, 1.00, 0.00, 1.00
2, 0, 0.020, 0.98, 1, -81.5, -145.4, 941.0, 0.278, -0.331, -0.021, 0.00, 0.00, 2.68, 0.00, 0.41, 0.14, 0.00, 1.27, 0.47, 0.63, 0.00, 1.86, 0.28, 0.69, 0.38, 1.23, 0.87, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 1.00, 1.00, 0.00, 1.00, 1.00, 0.00, 1.00
3, 0, 0.040, 0.98, 1, -79.3, -145.6, 937.6, 0.290, -0.324, -0.024, 0.00, 0.00, 2.93, 0.00, 0.36, 0.41, 0.00, 1.33, 0.40, 0.63, 0.00, 1.69, 0.14, 0.54, 0.54, 1.09, 1.03, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 1.00, 1.00, 0.00, 1.00, 1.00, 0.00, 1.00
4, 0, 0.060, 0.98, 1, -78.6, -146.3, 941.4, 0.290, -0.320, -0.026, 0.00, 0.00, 3.07, 0.00, 0.36, 0.68, 0.00, 1.60, 0.37, 0.75, 0.00, 1.61, 0.04, 0.26, 0.51, 0.88, 0.93, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 1.00, 1.00, 0.00, 1.00, 1.00, 0.00, 1.00
5, 0, 0.080, 0.98, 1, -77.9, -146.5, 940.6, 0.296, -0.301, -0.027, 0.00, 0.00, 3.23, 0.00, 0.31, 0.69, 0.00, 1.60, 0.27, 0.76, 0.00, 1.46, 0.11, 0.04, 0.46, 0.75, 0.81, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 1.00, 1.00, 0.00, 1.00, 1.00, 0.00, 1.00
6, 0, 0.100, 0.98, 1, -77.8, -146.9, 943.7, 0.305, -0.302, -0.023, 0.00, 0.00, 3.19, 0.00, 0.27, 0.56, 0.00, 1.69, 0.27, 0.79, 0.00, 1.27, 0.07, 0.01, 0.26, 0.71, 0.71, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 1.00, 1.00, 0.00, 1.00, 1.00, 0.00, 1.00
7, 0, 0.120, 0.98, 1, -78.1, -147.4, 948.4, 0.322, -0.296, -0.016, 0.00, 0.00, 3.18, 0.00, 0.23, 0.32, 0.00, 1.58, 0.25, 0.90, 0.00, 1.10, 0.09, 0.00, 0.16, 0.57, 0.65, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 1.00, 1.00, 0.00, 1.00, 1.00, 0.00, 0.00
8, 0, 0.140, 0.98, 1, -78.0, -147.4, 949.7, 0.334, -0.287, -0.011, 0.00, 0.00, 3.07, 0.00, 0.23, 0.20, 0.00, 1.61, 0.25, 0.97, 0.00, 0.86, 0.09, 0.00, 0.13, 0.35, 0.52, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00
9, 0, 0.160, 0.98, 1, -78.0, -147.5, 952.7, 0.347, -0.277, -0.008, 0.00, 0.00, 3.07, 0.00, 0.24, 0.05, 0.00, 1.71, 0.27, 1.22, 0.00, 0.82, 0.09, 0.00, 0.24, 0.10, 0.30, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00
10, 0, 0.180, 0.98, 1, -78.1, -147.8, 956.1, 0.366, -0.273, -0.003, 0.00, 0.00, 3.00, 0.00, 0.18, 0.14, 0.00, 1.90, 0.29, 1.30, 0.00, 0.65, 0.07, 0.00, 0.39, 0.04, 0.17, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 1.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00
11, 0, 0.200, 0.98, 1, -78.2, -147.9, 958.5, 0.377, -0.274, 0.003, 0.00, 0.00, 2.97, 0.00, 0.10, 0.14, 0.00, 1.76, 0.26, 1.37, 0.00, 0.53, 0.00, 0.00, 0.45, 0.12, 0.07, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00
12, 0, 0.220, 0.98, 1, -78.2, -148.1, 960.3, 0.402, -0.278, 0.013, 0.00, 0.00, 2.90, 0.00, 0.01, 0.14, 0.00, 1.48, 0.13, 1.33, 0.00, 0.24, 0.00, 0.00, 0.47, 0.08, 0.04, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00
13, 0, 0.240, 0.98, 1, -78.5, -148.5, 965.7, 0.406, -0.284, 0.020, 0.00, 0.00, 2.81, 0.00, 0.00, 0.00, 0.00, 1.28, 0.03, 1.37, 0.00, 0.09, 0.00, 0.00, 0.52, 0.08, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00
14, 0, 0.260, 0.88, 1, -77.7, -147.8, 962.4, 0.401, -0.288, 0.016, 0.00, 0.00, 2.67, 0.00, 0.00, 0.00, 0.00, 1.21, 0.00, 1.40, 0.00, 0.00, 0.00, 0.00, 0.61, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00
15, 0, 0.280, 0.98, 1, -77.3, -147.6, 963.8, 0.404, -0.292, 0.020, 0.00, 0.00, 2.55, 0.00, 0.00, 0.00, 0.00, 1.19, 0.00, 1.50, 0.00, 0.14, 0.00, 0.00, 0.63, 0.11, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 1.00, 1.00, 0.00, 0.00, 0.00, 0.00, 1.00, 0.00, 0.00, 0.00
